"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6199","Empty basket opened from Main page has no products","tests","2026-07-04","passed","2026-07-04","TestMainPage","test_main_page","",""
"","1223","Guest should see login link on Main page","tests","2026-07-04","passed","2026-07-04","TestMainPage","test_main_page","",""
"","1187","Guest can go to Login page from Main page","tests","2026-07-04","passed","2026-07-04","TestMainPage","test_main_page","",""
