"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6128","Empty basket opened from Main page has no products","tests","2026-07-04","passed","2026-07-04","TestMainPage","test_main_page","",""
"","3186","Guest can add product to basket","tests","2026-07-04","passed","2026-07-04","TestProductPage","test_product_page","",""
"","1622","Guest can add product to basket","tests","2026-07-04","passed","2026-07-04","TestProductPage","test_product_page","",""
"","1116","Guest can go to Login page from Main page","tests","2026-07-04","passed","2026-07-04","TestMainPage","test_main_page","",""
"","6021","Empty basket opened from Product page has no products","tests","2026-07-04","passed","2026-07-04","TestProductPage","test_product_page","",""
"","5392","Authorized user see no messages on Product page","tests","2026-07-04","passed","2026-07-04","TestProductPage","test_product_page","",""
"","5324","Guest see no messages on Product page","tests","2026-07-04","passed","2026-07-04","TestProductPage","test_product_page","",""
"","2828","Guest can add product to basket","tests","2026-07-04","passed","2026-07-04","TestProductPage","test_product_page","",""
"","1019","Guest can add product to basket","tests","2026-07-04","passed","2026-07-04","TestProductPage","test_product_page","",""
"","7140","Guest can add product to basket","tests","2026-07-04","skipped","2026-07-04","TestProductPage","test_product_page","",""
"","1120","Guest can add product to basket","tests","2026-07-04","passed","2026-07-04","TestProductPage","test_product_page","",""
"","851","Guest should see login link on Main page","tests","2026-07-04","passed","2026-07-04","TestMainPage","test_main_page","",""
"","1946","Guest can add product to basket","tests","2026-07-04","passed","2026-07-04","TestProductPage","test_product_page","",""
"","960","Guest can go to Login page from Product page","tests","2026-07-04","passed","2026-07-04","TestProductPage","test_product_page","",""
"","2579","Authorized user can add product to basket","tests","2026-07-04","passed","2026-07-04","TestProductPage","test_product_page","",""
"","755","Guest can add product to basket","tests","2026-07-04","passed","2026-07-04","TestProductPage","test_product_page","",""
"","1586","Guest can add product to basket","tests","2026-07-04","passed","2026-07-04","TestProductPage","test_product_page","",""
"","336","Guest should see login link on Product page","tests","2026-07-04","passed","2026-07-04","TestProductPage","test_product_page","",""
"","1585","Guest can add product to basket","tests","2026-07-04","passed","2026-07-04","TestProductPage","test_product_page","",""
